nb_new_signs,time
84517,1631388864.3738177
84518,1631388865.5807846
84524,1631388925.8082337
84525,1631388986.6411598
84531,1631389048.034407
84536,1631389108.7663538
84539,1631389169.6666799
84543,1631389230.4088712
84546,1631389291.9585469
84548,1631389352.5142195
84549,1631389414.1644971
84554,1631389474.6465268
84556,1631389535.4404447
84561,1631389596.9368007
84562,1631389657.4885118
84564,1631389719.1452754
84570,1631389779.9236462
84576,1631389840.4252512
84579,1631389901.8439
84580,1631389962.5591714
84584,1631390023.296732
84585,1631390085.2052407
84590,1631390145.939185
84594,1631390206.3809214
84600,1631390267.9954488
84603,1631390328.5501952
84608,1631390390.155277
84610,1631390450.5167992
84618,1631390511.4076893
84624,1631390572.4807508
84627,1631390634.05154
84630,1631390694.5665693
84631,1631390755.3501177
84638,1631390816.622722
84644,1631390877.477068
84646,1631390939.027997
84648,1631390999.598553
84650,1631391060.4458401
84654,1631391121.4877982
84658,1631391183.2027712
84661,1631391243.5664647
84664,1631391305.1905234
84669,1631391365.9286191
84671,1631391426.7901478
84676,1631391487.5776162
84680,1631391548.9593847
84684,1631391609.509273
84688,1631391670.2529655
84692,1631391731.8121789
84697,1631391792.353469
84699,1631391853.9358299
84702,1631391914.7230742
84705,1631391976.161351
84706,1631392036.5480669
84710,1631392098.0371318
84715,1631392158.626497
84716,1631392220.0801723
84721,1631392280.7931008
84724,1631392341.351739
84730,1631392402.806603
84731,1631392463.2693217
84734,1631392524.8287358
84737,1631392586.0167742
84738,1631392647.0397122
84743,1631392707.437757
84745,1631392768.9783883
84747,1631392829.4148066
84750,1631392891.2120278
84752,1631392951.7464538
84756,1631393012.469079
84757,1631393073.8214898
84761,1631393134.3840806
84765,1631393196.1738539
84769,1631393257.0415995
84772,1631393317.834207
84777,1631393378.5231404
84780,1631393440.1097145
84782,1631393501.4360874
84785,1631393563.027482
84791,1631393623.6052084
84794,1631393684.3535008
84799,1631393746.0837092
84802,1631393807.9927235
84804,1631393869.4520738
84807,1631393931.0211997
84812,1631393991.5881116
84818,1631394053.1435175
84823,1631394113.5251698
84824,1631394175.096036
84827,1631394235.6253479
84832,1631394296.4808846
84835,1631394357.9370506
84838,1631394419.6217992
84840,1631394480.3705723
